"","pm1","pm2.5","resp","pm10","total","date"
"1",0,0,0,0,0,2019-09-05 07:30:58
"2",0,0,0,0,0,2019-09-05 07:31:08
"3",0,0,0,0,0,2019-09-05 07:31:18
"4",0,0,0,0,0,2019-09-05 07:31:28
"5",0,0,0,0,0,2019-09-05 07:31:38
"6",0,0,0,0,0,2019-09-05 07:31:48
"7",0,0,0,0,0,2019-09-05 07:31:58
"8",0,0,0,0,0,2019-09-05 07:32:08
"9",0,0,0,0,0,2019-09-05 07:32:18
"10",0,0,0,0,0,2019-09-05 07:32:28
"11",0,0,0,0,0.001,2019-09-05 07:32:38
"12",0,0,0,0,0,2019-09-05 07:32:48
"13",0,0,0,0,0,2019-09-05 07:32:58
"14",0,0,0,0,0,2019-09-05 07:33:08
"15",0,0,0,0,0,2019-09-05 07:33:18
"16",0,0,0,0,0,2019-09-05 07:33:28
"17",0,0,0,0,0,2019-09-05 07:33:38
"18",0,0,0,0,0,2019-09-05 07:33:48
"19",0,0,0,0,0,2019-09-05 07:33:58
"20",0,0,0,0,0,2019-09-05 07:34:08
"21",0,0,0,0,0,2019-09-05 07:34:18
"22",0,0,0,0,0,2019-09-05 07:34:28
"23",0,0,0,0,0,2019-09-05 07:34:38
"24",0,0,0,0,0,2019-09-05 07:34:48
"25",0,0,0,0,0,2019-09-05 07:34:58
"26",0,0,0,0,0,2019-09-05 07:35:08
"27",0,0,0,0,0,2019-09-05 07:35:18
"28",0,0,0,0,0,2019-09-05 07:35:28
"29",0,0,0,0,0,2019-09-05 07:35:38
"30",0,0,0,0,0,2019-09-05 07:35:48
"31",0,0,0,0,0,2019-09-05 07:35:58
"32",0,0,0,0,0,2019-09-05 07:36:08
"33",0,0,0,0,0,2019-09-05 07:36:18
"34",0,0,0,0,0,2019-09-05 07:36:28
"35",0,0,0,0,0,2019-09-05 07:36:38
"36",0,0,0,0,0,2019-09-05 07:36:48
"37",0,0,0,0,0,2019-09-05 07:36:58
"38",0,0,0,0,0,2019-09-05 07:37:08
"39",0,0,0,0,0,2019-09-05 07:37:18
"40",0,0,0,0,0,2019-09-05 07:37:28
"41",0,0,0,0,0,2019-09-05 07:37:38
"42",0,0,0,0,0,2019-09-05 07:37:48
"43",0,0,0,0,0,2019-09-05 07:37:58
"44",0,0,0,0,0,2019-09-05 07:38:08
"45",0,0,0,0,0,2019-09-05 07:38:18
"46",0,0,0,0,0,2019-09-05 07:38:28
"47",0,0,0,0,0,2019-09-05 07:38:38
"48",0.006,0.006,0.006,0.006,0.006,2019-09-05 07:38:48
"49",0.017,0.017,0.017,0.017,0.017,2019-09-05 07:38:58
"50",0.024,0.025,0.025,0.025,0.025,2019-09-05 07:39:08
"51",0.016,0.018,0.018,0.019,0.019,2019-09-05 07:39:18
"52",0.007,0.008,0.008,0.008,0.008,2019-09-05 07:39:28
"53",0.007,0.007,0.007,0.008,0.008,2019-09-05 07:39:38
"54",0.007,0.008,0.008,0.008,0.008,2019-09-05 07:39:48
"55",0.007,0.008,0.008,0.009,0.009,2019-09-05 07:39:58
"56",0.006,0.007,0.007,0.007,0.007,2019-09-05 07:40:08
"57",0.007,0.007,0.008,0.008,0.008,2019-09-05 07:40:18
"58",0.005,0.006,0.007,0.007,0.007,2019-09-05 07:40:28
"59",0.001,0.001,0.001,0.001,0.001,2019-09-05 07:40:38
"60",0,0,0,0,0,2019-09-05 07:40:48
"61",0,0,0,0,0,2019-09-05 07:40:58
"62",0,0,0,0,0,2019-09-05 07:41:08
"63",0,0,0,0,0,2019-09-05 07:41:18
"64",-0.001,-0.001,-0.001,-0.001,-0.001,2019-09-05 07:41:28
"65",-0.001,-0.001,-0.001,-0.001,-0.001,2019-09-05 07:41:38
"66",-0.001,-0.001,-0.001,-0.001,-0.001,2019-09-05 07:41:48
"67",-0.001,-0.001,-0.001,-0.001,-0.001,2019-09-05 07:41:58
"68",-0.001,-0.001,-0.001,-0.001,-0.001,2019-09-05 07:42:08
"69",0,0,0,0,0,2019-09-05 07:42:18
"70",0,0,0,0,0,2019-09-05 07:42:28
