"","date.1.","time.1.","rel.time.1.","N.1.","dp_av.1.","P.1.","S_al.1.","S_tb.1.","S_ha.1.","M_al.1.","M_tb.1.","M_ha.1.","date"
"1","Sep 2019","08:31:46",10,864,50,0.01,2.03,0.41,0.26,0.02,0,0,2019-09-05 07:31:46
"2","Sep 2019","08:31:56",20,129,50,0.01,0.3,0.06,0.04,0,0,0,2019-09-05 07:31:56
"3","Sep 2019","08:32:06",30,129,50,0.01,0.3,0.06,0.04,0,0,0,2019-09-05 07:32:06
"4","Sep 2019","08:32:16",40,286,50,0.01,0.67,0.14,0.09,0.01,0,0,2019-09-05 07:32:16
"5","Sep 2019","08:32:27",51,286,50,0.01,0.67,0.14,0.09,0.01,0,0,2019-09-05 07:32:27
"6","Sep 2019","08:32:37",61,156,50,0.01,0.37,0.07,0.05,0,0,0,2019-09-05 07:32:37
"7","Sep 2019","08:32:47",71,156,50,0.01,0.37,0.07,0.05,0,0,0,2019-09-05 07:32:47
"8","Sep 2019","08:32:57",81,578,50,0.01,1.36,0.27,0.17,0.01,0,0,2019-09-05 07:32:57
"9","Sep 2019","08:33:07",91,578,50,0.01,1.36,0.27,0.17,0.01,0,0,2019-09-05 07:33:07
"10","Sep 2019","08:33:17",101,82,50,0.01,0.19,0.04,0.02,0,0,0,2019-09-05 07:33:17
"11","Sep 2019","08:33:27",111,82,50,0.01,0.19,0.04,0.02,0,0,0,2019-09-05 07:33:27
"12","Sep 2019","08:33:37",121,-68,50,0.01,-0.16,-0.03,-0.02,0,0,0,2019-09-05 07:33:37
"13","Sep 2019","08:33:47",131,-68,50,0.01,-0.16,-0.03,-0.02,0,0,0,2019-09-05 07:33:47
"14","Sep 2019","08:33:57",141,-408,50,0.01,-0.96,-0.19,-0.12,-0.01,0,0,2019-09-05 07:33:57
"15","Sep 2019","08:34:07",151,-408,50,0.01,-0.96,-0.19,-0.12,-0.01,0,0,2019-09-05 07:34:07
"16","Sep 2019","08:34:17",161,-170,50,0.01,-0.4,-0.08,-0.05,0,0,0,2019-09-05 07:34:17
"17","Sep 2019","08:34:27",171,-170,50,0.01,-0.4,-0.08,-0.05,0,0,0,2019-09-05 07:34:27
"18","Sep 2019","08:34:37",181,-496,50,0.01,-1.17,-0.24,-0.15,-0.01,0,0,2019-09-05 07:34:37
"19","Sep 2019","08:34:47",191,-496,50,0.01,-1.17,-0.24,-0.15,-0.01,0,0,2019-09-05 07:34:47
"20","Sep 2019","08:34:57",201,-843,50,0.01,-1.98,-0.4,-0.25,-0.02,0,0,2019-09-05 07:34:57
"21","Sep 2019","08:35:07",211,-843,50,0.01,-1.98,-0.4,-0.25,-0.02,0,0,2019-09-05 07:35:07
"22","Sep 2019","08:35:17",221,-388,50,0.01,-0.91,-0.18,-0.12,-0.01,0,0,2019-09-05 07:35:17
"23","Sep 2019","08:35:27",231,-388,50,0.01,-0.91,-0.18,-0.12,-0.01,0,0,2019-09-05 07:35:27
"24","Sep 2019","08:35:37",241,-762,50,0.01,-1.79,-0.36,-0.23,-0.02,0,0,2019-09-05 07:35:37
"25","Sep 2019","08:35:47",251,-762,50,0.01,-1.79,-0.36,-0.23,-0.02,0,0,2019-09-05 07:35:47
"26","Sep 2019","08:35:57",261,-279,50,0.01,-0.66,-0.13,-0.08,-0.01,0,0,2019-09-05 07:35:57
"27","Sep 2019","08:36:07",271,-279,50,0.01,-0.66,-0.13,-0.08,-0.01,0,0,2019-09-05 07:36:07
"28","Sep 2019","08:36:17",281,-483,50,0.01,-1.13,-0.23,-0.14,-0.01,0,0,2019-09-05 07:36:17
"29","Sep 2019","08:36:27",291,-483,50,0.01,-1.13,-0.23,-0.14,-0.01,0,0,2019-09-05 07:36:27
"30","Sep 2019","08:36:47",311,938,50,0.01,2.21,0.45,0.28,0.02,0,0,2019-09-05 07:36:47
"31","Sep 2019","08:36:57",321,938,50,0.01,2.21,0.45,0.28,0.02,0,0,2019-09-05 07:36:57
"32","Sep 2019","08:37:07",331,1000,50,0.01,2.35,0.47,0.3,0.02,0,0,2019-09-05 07:37:07
"33","Sep 2019","08:37:17",341,1000,50,0.01,2.35,0.47,0.3,0.02,0,0,2019-09-05 07:37:17
"34","Sep 2019","08:37:27",351,292,50,0.01,0.69,0.14,0.09,0.01,0,0,2019-09-05 07:37:27
"35","Sep 2019","08:37:37",361,292,50,0.01,0.69,0.14,0.09,0.01,0,0,2019-09-05 07:37:37
"36","Sep 2019","08:37:47",371,945,50,0.01,2.22,0.45,0.28,0.02,0,0,2019-09-05 07:37:47
"37","Sep 2019","08:37:57",381,945,50,0.01,2.22,0.45,0.28,0.02,0,0,2019-09-05 07:37:57
"38","Sep 2019","08:38:07",391,1027,50,0.02,2.41,0.49,0.31,0.03,0.01,0,2019-09-05 07:38:07
"39","Sep 2019","08:38:17",401,1027,50,0.02,2.41,0.49,0.31,0.03,0.01,0,2019-09-05 07:38:17
"40","Sep 2019","08:38:27",411,1000,50,0.01,2.35,0.47,0.3,0.02,0,0,2019-09-05 07:38:27
"41","Sep 2019","08:38:37",421,1000,50,0.01,2.35,0.47,0.3,0.02,0,0,2019-09-05 07:38:37
"42","Sep 2019","08:38:47",431,60711,49,3.54,138.51,28,17.68,1.41,0.28,0.13,2019-09-05 07:38:47
"43","Sep 2019","08:38:57",441,58942,50,3.54,138.51,28,17.68,1.45,0.29,0.14,2019-09-05 07:38:57
"44","Sep 2019","08:39:07",451,76510,51,3.79,185.19,37.43,23.64,1.98,0.39,0.19,2019-09-05 07:39:07
"45","Sep 2019","08:39:17",461,78805,50,3.79,185.19,37.43,23.64,1.94,0.39,0.18,2019-09-05 07:39:17
"46","Sep 2019","08:39:27",471,22004,51,2.71,53.26,10.77,6.8,0.57,0.11,0.05,2019-09-05 07:39:27
"47","Sep 2019","08:39:37",481,22664,50,2.71,53.26,10.77,6.8,0.56,0.11,0.05,2019-09-05 07:39:37
"48","Sep 2019","08:39:47",491,18918,49,2.53,43.16,8.72,5.51,0.44,0.09,0.04,2019-09-05 07:39:47
"49","Sep 2019","08:39:57",501,19485,47,2.53,43.16,8.72,5.51,0.43,0.09,0.04,2019-09-05 07:39:57
"50","Sep 2019","08:40:07",511,18844,46,2.47,40.53,8.19,5.17,0.39,0.08,0.04,2019-09-05 07:40:07
"51","Sep 2019","08:40:17",521,19409,44,2.47,40.53,8.19,5.17,0.38,0.08,0.04,2019-09-05 07:40:17
"52","Sep 2019","08:40:27",531,15987,43,2.28,32.41,6.55,4.14,0.3,0.06,0.03,2019-09-05 07:40:27
"53","Sep 2019","08:40:37",541,16466,42,2.28,32.41,6.55,4.14,0.29,0.06,0.03,2019-09-05 07:40:37
"54","Sep 2019","08:40:47",551,4509,43,1.18,9.14,1.85,1.17,0.08,0.02,0.01,2019-09-05 07:40:47
"55","Sep 2019","08:40:57",561,4644,42,1.18,9.14,1.85,1.17,0.08,0.02,0.01,2019-09-05 07:40:57
"56","Sep 2019","08:41:07",571,1437,42,0.16,2.83,0.57,0.36,0.03,0.01,0,2019-09-05 07:41:07
"57","Sep 2019","08:41:17",581,1437,42,0.16,2.83,0.57,0.36,0.03,0.01,0,2019-09-05 07:41:17
"58","Sep 2019","08:41:27",591,309,42,0.01,0.61,0.12,0.08,0.01,0,0,2019-09-05 07:41:27
