"","Elapsed.Time..s.","Bin.1","Bin.2","Bin.3","Bin.4","Bin.5","Bin.6","Bin.7","Bin.8","Bin.9","Bin.10","Bin.11","Bin.12","Bin.13","Bin.14","Bin.15","Bin.16","Bin.17","Deadtime..s.","Temperature..C.","Humidity....","Ambient.Pressure..kPa.","Alarms","Errors","date"
"1",10,182,63,27,7,7,2,5,2,5,2,1,0,1,0,0,1,0,0.002461,26.155,0,100.528,NA,NA,2019-09-05 07:30:53
"2",20,170,49,34,7,4,6,3,3,5,2,1,0,2,0,0,0,0,0.002305,26.224,0,100.528,NA,NA,2019-09-05 07:31:03
"3",30,198,62,28,12,5,10,1,1,2,2,2,0,0,0,0,0,0,0.002544,26.26,0,100.525,NA,NA,2019-09-05 07:31:13
"4",40,191,64,34,9,5,7,2,3,5,3,2,0,0,0,0,0,0,0.002601,26.293,0,100.528,NA,NA,2019-09-05 07:31:23
"5",50,184,54,28,9,4,4,5,2,7,3,2,2,1,0,2,0,0,0.002644,26.31,0,100.528,NA,NA,2019-09-05 07:31:33
"6",60,185,66,25,8,3,1,6,5,9,7,4,1,1,0,1,0,0,0.002703,26.331,0,100.528,NA,NA,2019-09-05 07:31:43
"7",70,164,66,25,12,9,9,3,2,2,5,2,1,1,0,0,0,0,0.002524,26.353,0,100.525,NA,NA,2019-09-05 07:31:53
"8",80,149,58,28,11,8,6,2,5,3,1,2,1,0,1,0,0,0,0.002274,26.362,0,100.528,NA,NA,2019-09-05 07:32:03
"9",90,179,67,32,15,7,5,2,1,5,2,0,1,0,1,0,0,0,0.002566,26.397,0,100.519,NA,NA,2019-09-05 07:32:13
"10",100,175,69,27,4,8,9,0,3,4,6,1,1,0,1,0,0,0,0.002503,26.412,0,100.528,NA,NA,2019-09-05 07:32:23
"11",110,156,61,25,13,7,4,5,2,5,3,4,0,0,0,0,1,0,0.002302,26.431,0,100.528,NA,NA,2019-09-05 07:32:33
"12",120,167,63,22,10,5,3,2,1,3,2,2,1,1,0,0,1,0,0.002348,26.45,0,100.525,NA,NA,2019-09-05 07:32:43
"13",130,192,60,26,9,1,8,2,0,1,3,0,0,0,0,0,0,0,0.002442,26.472,0,100.531,NA,NA,2019-09-05 07:32:53
"14",140,166,54,28,5,5,4,3,2,2,5,1,0,1,0,1,0,0,0.002225,26.503,0,100.528,NA,NA,2019-09-05 07:33:03
"15",150,176,64,30,10,4,5,4,2,3,4,2,0,0,1,0,0,1,0.002536,26.531,0,100.528,NA,NA,2019-09-05 07:33:13
"16",160,173,57,26,13,4,3,4,6,3,3,2,1,0,0,0,0,0,0.002405,26.552,0,100.528,NA,NA,2019-09-05 07:33:23
"17",170,160,60,22,9,2,8,4,3,3,3,0,2,0,0,0,0,1,0.002213,26.579,0,100.531,NA,NA,2019-09-05 07:33:33
"18",180,183,60,36,8,9,6,6,0,3,2,2,0,0,0,0,0,0,0.00252,26.595,0,100.528,NA,NA,2019-09-05 07:33:43
"19",190,170,61,28,8,7,9,2,4,6,2,2,2,0,2,0,0,0,0.002502,26.621,0,100.531,NA,NA,2019-09-05 07:33:53
"20",200,170,64,25,16,7,4,4,2,7,3,3,0,2,1,0,0,0,0.002607,26.648,0,100.537,NA,NA,2019-09-05 07:34:03
"21",210,152,60,21,0,4,7,6,2,3,4,0,2,0,0,0,0,0,0.00213,26.669,0,100.528,NA,NA,2019-09-05 07:34:13
"22",220,156,63,26,6,4,3,3,1,5,0,2,3,0,1,0,0,0,0.002222,26.697,0,100.528,NA,NA,2019-09-05 07:34:23
