Model,ID,Period Used,Location,RPI Mac Address,Rpi Hostname,FTDI Serial,USB-ISS Serial,Comments
HPMA115S0,HPMA115S0-T0B190900380,,,,lab-1,A6024B1F,,
SPS030,SPS030-60767820-20,,,,lab-1,A6024AQE,,
SPS030,SPS030-60767820-25,,,,lab-1,A506PBLO,,
SPS030,SPS030-60767820-26,,,,lab-2,A6024ATM,,
SPS030,SPS030-60767820-27,,,,lab-4,A6024AQ7,,
SPS030,SPS030-60767820-29,,,,lab-3,A6024B1A,,
SPS030,SPS030-60767820-30,,,,lab-4,A6024B18,,
SPS030,SPS030-60767820-32,,,,lab-3,A6024C4M,,
OPCR1,OPCR1-178871501,,,,lab-1,,48167,
OPCR1,OPCR1-178872108,,,,lab-1,,48278,
SPS030,SPS030-60767820-35,,,,lab-2,A506PAG6,,
SDS018,SDS018-6001-945D,,,,lab-1,A6024B17,,
SDS018,SDS018-6001-9290,,,,lab-1,A6024C42,,
SDS018,SDS018-6001-94B9,,,,lab-2,A506P7TI,,
PMS5003,PMS5003-2019031807864,,,,lab-1,A6024ATN,,
PMS5003,PMS5003-2019031807859,,,,lab-1,A6024C4B,,
HPMA115S0,HPMA115S0-T0B190900407,,,,lab-2,A6024ATD,,
HPMA115S0,HPMA115S0-R0B174843287,,,,lab-2,A6024AQJ,,
HPMA115S0,HPMA115S0-T0B190900369,,,,lab-1,A6024B20,,
PMS5003,PMS5003-2019042601208,,,,lab-2,A6024C4E,,
PMS5003,PMS5003-2019031806704,,,,lab-4,A6024C4A,,
PMS5003,PMS5003-2019031806703,,,,lab-2,A6024C3S,,
PMS5003,PMS5003-2019031807850,,,,lab-3,A6024B1C,,
OPCR1,OPCR1-178872017,,,,lab-2,,48216,
OPCR1,OPCR1-178872016,,,,lab-4,,48187,
OPCR1,OPCR1-178871513,,,,lab-3,,48231,
OPCR1,OPCR1-178871520,,,,lab-4,,48217,
OPCR1,OPCR1-178871518,,,,lab-2,,48186,
HPMA115S0,HPMA115S0-T0B190515671,,,,lab-3,A506PAFL,,
HPMA115S0,HPMA115S0-T0B190900598,,,,lab-4,A506PBS6,,
HPMA115S0,HPMA115S0-T0B190515497,,,,lab-3,A6024C3T,,
HPMA115S0,HPMA115S0-T0B190900287,,,,lab-4,A6024C3O,,
SDS018,SDS018-6001-941A,,,,lab-4,A6024C3R,,
SDS018,SDS018-6001-94B8,,,,lab-2,A6024C4G,,
SDS018,SDS018-6001-94BA,,,,lab-4,A6024C3P,,
SDS018,SDS018-6001-9438,,,,lab-3,A6024B1O,,
SDS018,SDS018-6001-943F,,,,lab-3,A6024B1N,,
PMS5003,PMS5003-2019031807870,,,,lab-4,A6024ATP,,
OPCR1,OPCR1-178872113,,,,lab-3,,48228,
PMS5003,PMS5003-2019031807858,,,,lab-3,A9085626,,
